flag_id,primitive,stratum,locus,edge,term_label,section,blanket,in_stratum_d_census,evidence,section_heading,section_excerpt,verdict,rationale
F00000,K-A2,A,L2,,Cardiac Laboratory Finding,404.1503b,False,False,HermiT reports CardiacLaboratoryFinding unsatisfiable: no individual can instantiate it under the asserted criteria.,Evidence from excluded medical sources of evidence.,"(a) General. We will not consider evidence from the following medical sources excluded under section 223(d)(5)(C)(i) of the Social Security Act (Act), as amended, unless we find good cause under paragraph (b) of this section: (1) Any medical source that has been convicted of a felony under section 208 or under section 1632 of the Act; (2) Any medical source that has been excluded from participation in any Federal health care program under section 1128 of the Act; or (3) Any medical source that has received a final decision imposing a civil monetary penalty or assessment, or both, for submitting false evidence under section 1129 of the Act. (b) Good cause. We may find good cause to consider e",translation,The class is unsatisfiable because the extraction applied 'is concretized by' to a filler that is not the kind of entity that relation accepts. 20 CFR Part 404 says nothing that could make a cardiac laboratory finding impossible; the impossibility is manufactured by the formalization.
F00001,K-A2,A,L0,,Cardiac Structural Abnormality,App1-4.00,False,False,HermiT reports CardiacStructuralAbnormality unsatisfiable: no individual can instantiate it under the asserted criteria.,4.00 Cardiovascular System,"A. General 1. What do we mean by a cardiovascular impairment? a. We mean any disorder that affects the proper functioning of the heart or the circulatory system (that is, arteries, veins, capillaries, and the lymphatic drainage). The disorder can be congenital or acquired. b. Cardiovascular impairment results from one or more of four consequences of heart disease: (i) Chronic heart failure or ventricular dysfunction. (ii) Discomfort or pain due to myocardial ischemia, with or without necrosis of heart muscle. (iii) Syncope, or near syncope, due to inadequate cerebral perfusion from any cardiac cause, such as obstruction of flow or disturbance in rhythm or conduction resulting in inadequate c",translation,The class is unsatisfiable because the extraction applied 'is concretized by' to a filler that is not the kind of entity that relation accepts. 20 CFR Part 404 says nothing that could make a cardiac laboratory finding impossible; the impossibility is manufactured by the formalization.
F00002,K-A3,A,L1,,administration,404.1599,True,False,"Administration is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Work incentive experiments and rehabilitation demonstration projects in the disability program.,"(a) Authority and purpose. Section 505(a) of the Social Security Disability Amendments of 1980, Pub. L. 96-265, directs the Commissioner to develop and conduct experiments and demonstration projects designed to provide more cost-effective ways of encouraging disabled beneficiaries to return to work and leave benefit rolls. These experiments and demonstration projects will test the advantages and disadvantages of altering certain limitations and conditions that apply to title II disabled beneficiaries. The objective of all work incentive experiments or rehabilitation demonstrations is to determine whether the alternative requirements will save Trust Fund monies or otherwise improve the admini",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00005,K-A3,A,L1,,affected State agency,404.1692,True,False,"AffectedStateAgency is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Protection of State employees.,"(a) Hiring preference. We will develop and initiate procedures to implement a plan to partially or completely assume the disability determination function from the State agency under § 404.1690 or § 404.1691, as appropriate. Except for the State agency's administrator, deputy administrator, or assistant administrator (or his equivalent), we will give employees of the State agency who are capable of performing duties in the disability determination function preference over any other persons in filling positions with us for which they are qualified. We may also give a preference in hiring to the State agency's administrator, deputy administrator, or assistant administrator (or his equivalent).",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00026,K-A3,A,L1,,basic State agency,404.1617,True,False,"BasicStateAgency is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.","Reasonable efforts to obtain review by a physician, psychiatrist, and psychologist.","(a) When the evidence of record indicates the existence of a physical impairment, the State agency must make every reasonable effort to ensure that a medical consultant completes the medical portion of the case review and any applicable residual functional capacity assessment. When the evidence of record indicates the existence of a mental impairment, the State agency must make every reasonable effort to ensure that a psychological consultant completes the medical portion of the case review and any applicable residual functional capacity assessment. The State agency must determine if additional physicians, psychiatrists, and psychologists are needed to make the necessary reviews. When it doe",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00030,K-A3,A,L0,,Bloodstream,App1-9.00,True,False,"Bloodstream is asserted only under the BFO root(s) ['BFO_0000040'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",9.00 Endocrine Disorders,"A. What is an endocrine disorder? An endocrine disorder is a medical condition that causes a hormonal imbalance. When an endocrine gland functions abnormally, producing either too much of a specific hormone (hyperfunction) or too little (hypofunction), the hormonal imbalance can cause various complications in the body. The major glands of the endocrine system are the pituitary, thyroid, parathyroid, adrenal, and pancreas. B. How do we evaluate the effects of endocrine disorders? We evaluate impairments that result from endocrine disorders under the listings for other body systems. For example: 1. Pituitary gland disorders can disrupt hormone production and normal functioning in other endocri",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00034,K-A3,A,L0,,Bone Weakness,App1-114.00,False,False,"BoneWeakness is asserted only under the BFO root(s) ['BFO_0000019'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",114.00 Immune System Disorders,"A. What disorders do we evaluate under the immune system disorders listings? 1. We evaluate immune system disorders that cause dysfunction in one or more components of your immune system. a. The dysfunction may be due to problems in antibody production, impaired cell-mediated immunity, a combined type of antibody/cellular deficiency, impaired phagocytosis, or complement deficiency. b. Immune system disorders may result in recurrent and unusual infections, or inflammation and dysfunction of the body's own tissues. Immune system disorders can cause a deficit in a single organ or body system that results in extreme (that is, very serious) loss of function. They can also cause lesser degrees of ",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00056,K-A3,A,L1,,Commissioner,404.1601,True,False,"Commissioner is asserted only under the BFO root(s) ['BFO_0000030'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",Purpose and scope.,This subpart describes the standards of performance and administrative requirements and procedures for States making determinations of disability for the Commissioner under title II of the Act. It also establishes the Commissioner's responsibilities in carrying out the disability determination function. (a) Sections 404.1601 through 404.1603 describe the purpose of the regulations and the meaning of terms frequently used in the regulations. They also briefly set forth the responsibilities of the Commissioner and the States covered in detail in other sections. (b) Sections 404.1610 through 404.1618 describe the Commissioner's and the State's responsibilities in performing the disability deter,translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00080,K-A3,A,L2,,Digestive Disorder Evaluation Norm,App1-105.00,False,False,"DigestiveEvaluationNorm is asserted only under the BFO root(s) ['BFO_0000031'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.",105.00 Digestive Disorders,"A. Which digestive disorders do we evaluate in this body system? We evaluate digestive disorders that result in severe dysfunction of the liver, pancreas, and gastrointestinal tract (the large, muscular tube that extends from the mouth to the anus, where the movement of muscles, along with the release of hormones and enzymes, allows for the digestion of food) in this body system. Examples of these disorders and the listings we use to evaluate them include chronic liver disease (105.05), inflammatory bowel disease (105.06), and intestinal failure (105.07). We also use this body system to evaluate gastrointestinal hemorrhaging from any cause (105.02), growth failure due to any digestive disord",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
F00081,K-A3,A,L0,,directing witnesses,404.936,False,False,"DirectingWitnesses is asserted only under the BFO root(s) ['BFO_0000023'] with no differentia, no restriction and no disjointness. The class adds a name and nothing else.","Time, place, and manner of appearance for a hearing before an administrative law judge.","(a) General. We set the time and manner(s) of appearance for any hearing. We will set the place of a hearing when we schedule you and any other parties to the hearing to appear in person or by agency video. We may change the time, manner(s) of appearance, or place, if it is necessary. After sending you reasonable notice of the proposed action, the administrative law judge may adjourn or postpone the hearing or reopen it to receive additional evidence any time before the administrative law judge notifies you of a hearing decision. (b) Place of hearing. If we set the place of the hearing, it can be in the 50 States, the District of Columbia, American Samoa, Guam, the Northern Mariana Islands, ",translation,"The regulation names this entity - a State education agency, a licensing board, a court - and says what it does in prose. The artifact records only the name under a BFO root, with no differentia, no restriction and no disjointness. The emptiness is the formalization's, not the text's."
